,k,xzero,xt
60,3.606823282,0.8639729888,0.9014850996
61,3.7988877882,0.7186152792,0.3276452996
62,3.8191676855,0.8579681221,0.5860767254
63,3.7661722664,0.7773828612,0.4625918469
64,3.9695379983,0.8563175545,0.1260246745
65,3.6558468527,0.263129208,0.8123863778
66,3.7791716014,0.255079797,0.8808824255
67,3.7681509918,0.8853838605,0.6514982226
68,3.8132121149,0.4989734792,0.5830780782
69,3.7629262533,0.8912303666,0.444960116
70,3.7295175773,0.2837584302,0.3653076149
71,3.7494173582,0.2582337165,0.2484661922
72,3.9156273402,0.0040105038,0.3803676274
73,3.7539863716,0.0859832292,0.9214500577
74,3.9422353392,0.5916197945,0.1193241589
75,3.6426523945,0.742356248,0.8155405517
76,3.7082364522,0.2694720773,0.8966544479
77,3.8630603945,0.3072222015,0.8829735147
78,3.7158670425,0.3311042557,0.6243916087
79,3.9132322622,0.1579551369,0.9674654457
80,3.8153588405,0.8762467645,0.6029823261
81,3.7240270993,0.5632949292,0.6912962553
82,3.9426468908,0.7886217166,0.4882996844
83,3.9426731214,0.45371806,0.3563366734
84,3.612123695,0.0889098107,0.8539757767
85,3.6570961789,0.629435643,0.2889159459
86,3.735323548,0.0365024507,0.9148678959
87,3.7339435475,0.8312932901,0.5315942478
88,3.725464024,0.9416151614,0.7807621714
89,3.6668233983,0.4159637455,0.3313759194
90,3.9410502041,0.8904050349,0.8003570172
91,3.6552684101,0.04305578,0.4508521474
92,3.8863794771,0.832957425,0.9712607312
93,3.9229341876,0.6668326361,0.9663419887
94,3.7309689851,0.06416574,0.6647727238
95,3.8008555381,0.0823964341,0.6099813681
96,3.6418892726,0.5312547675,0.3116513382
97,3.6356380159,0.4343096449,0.5134116276
98,3.6425809202,0.09102448,0.8996137192
99,3.8308950079,0.836562181,0.5022134073
100,3.9985149925,0.4993865896,0.9946833812
101,3.897073936,0.632626864,0.9450210212
102,3.8769392701,0.4122020301,0.8333092555
103,3.8978071123,0.9115606827,0.4124191602
104,3.7494597963,0.4065329454,0.7874002059
105,3.9240961326,0.7506666507,0.5240635423
106,3.620673503,0.6609625717,0.4577831484
107,3.6208694535,0.3050687244,0.6161216585
108,3.9646849567,0.4888038453,0.1667379043
109,3.7101004084,0.8902904077,0.4516759876
110,3.8007260598,0.1941300687,0.5969729218
111,3.7397400844,0.1777498603,0.2276068595
112,3.6261687903,0.4948578845,0.4489792468
113,3.6351930698,0.3260955072,0.4913025758
114,3.9455913832,0.6218309531,0.8804608747
115,3.620333214,0.4827261902,0.5440703042
116,3.9296376803,0.8008124534,0.3868737923
117,3.9931602871,0.8125460432,0.102084343
118,3.7320004632,0.1807634504,0.7552423552
119,3.9236623903,0.9428583018,0.3709814199
120,3.8618572478,0.9210949352,0.1409526638
121,3.6777717223,0.8493691287,0.8816249711
122,3.7212713065,0.5870999437,0.6819552184
123,3.6605487626,0.4185810084,0.412028229
124,3.8685880411,0.380338991,0.8732315187
125,3.6870337567,0.31663189,0.8381091754
126,3.8525311052,0.7126871512,0.5100333592
127,3.8716072785,0.7843878836,0.1548863899
128,3.8864116516,0.1401187456,0.1219520181
129,3.8461583973,0.2017416234,0.1547834649
130,3.935621332,0.5359410482,0.5307737273
131,3.61907902,0.0676091218,0.3228404112
132,3.8195446887,0.9948197315,0.4689170445
133,3.9121226961,0.9268690833,0.4898197504
134,3.7895655706,0.0001161092,0.8692205531
135,3.6220931674,0.3819541286,0.3284065407
136,3.732568918,0.1683858399,0.2515483426
137,3.9288469358,0.8603849376,0.8578102271
138,3.8485940922,0.6510247355,0.4990944272
139,3.9159378814,0.7884864684,0.1278863022
140,3.7261373069,0.8935619234,0.8059057524
141,3.8717735586,0.476705541,0.1399632004
142,3.7819913056,0.486344531,0.4729277437
143,3.8737509759,0.0397563159,0.6255377001
144,3.9894158725,0.8476903056,0.0190421468
145,3.7779902423,0.5666385307,0.2070660777
146,3.709509924,0.9069929407,0.5205734246
147,3.7662798887,0.2573698225,0.3730906534
148,3.7427498663,0.8742923899,0.6633259421
149,3.9080935313,0.2118280498,0.5139464026
150,3.6175493255,0.3278970496,0.3128438993
151,3.9040512589,0.5199049576,0.4828873047
152,3.8805352135,0.6582504537,0.6242407044
153,3.8498768777,0.6390494193,0.961833591
154,3.9717463102,0.8989587101,0.0433040563
155,3.8988176311,0.3348998205,0.3400028698
156,3.7390545948,0.0712233431,0.4993954537
157,3.7410019941,0.7956788128,0.8440514924
158,3.9719892303,0.3889987894,0.8967269271
159,3.8631182948,0.5639808608,0.8467721698
160,3.6681935832,0.0572859342,0.371252235
161,3.8621122851,0.5478431215,0.9264272074
162,3.9980213456,0.9069002479,0.0034499472
163,3.7729983602,0.4451018942,0.8552625676
164,3.6476811643,0.5802252092,0.4967336129
165,3.8965415416,0.0428293412,0.3478852905
166,3.9404406294,0.444017809,0.3119226654
167,3.9491914369,0.032558796,0.4426061992
168,3.809854635,0.0786273195,0.5588102965
169,3.877510692,0.6572273129,0.713970114
170,3.8306808131,0.85499824,0.5027534362
171,3.6269051146,0.3235381884,0.6396052514
172,3.8402885482,0.6830810784,0.1493479409
173,3.8502959901,0.7076895546,0.9612398146
174,3.6521788251,0.633287591,0.2903313056
175,3.7072463302,0.4627423968,0.8040994085
176,3.9119101093,0.1912921164,0.8577092721
177,3.6356714631,0.1426525416,0.8563413647
178,3.9674635865,0.8981458965,0.2873852493
179,3.8209865401,0.239825296,0.9550175916
180,3.7474137542,0.3005560823,0.781588421
181,3.6456363762,0.0345156982,0.299192621
182,3.8607778897,0.7733748876,0.9475100903
183,3.7579000378,0.7667008422,0.4219628489
184,3.7927608938,0.8184417685,0.3702564277
185,3.8366569951,0.7706476094,0.9589275927
186,3.913887778,0.5835510248,0.4572657154
187,3.7530078218,0.7649779174,0.9366652836
188,3.6642684971,0.7619926964,0.788607245
189,3.7799453363,0.0848589485,0.9304275471
190,3.6897171576,0.439919497,0.6524762281
191,3.7030750081,0.5090742201,0.2975463534
192,3.7021496381,0.0311286329,0.839704752
193,3.8718289369,0.4670388651,0.538150753
194,3.7043038357,0.0537071802,0.7606374957
195,3.6550947882,0.0093081276,0.875981324
196,3.6597663253,0.1417873034,0.8600712465
197,3.656623803,0.3309390976,0.6852672659
198,3.8050308306,0.5507723963,0.792648284
199,3.6719257785,0.5346304054,0.5056722549
200,3.791858057,0.4097839146,0.896449855
201,3.7015659879,0.1791439072,0.5408425404
202,3.8008952469,0.1924822587,0.9363259203
203,3.9453984914,0.436693836,0.4083156419
204,3.9285888951,0.1344560085,0.369896805
205,3.7047216483,0.2302176375,0.6159688861
206,3.8009876917,0.4907672994,0.9236204111
207,3.8807615526,0.9331477203,0.9695139334
208,3.6402453442,0.5851167083,0.3067584393
209,3.6351000882,0.8931764004,0.9083898108
210,3.9186030127,0.8633824297,0.2617360669
211,3.6582839767,0.7921125896,0.8808972219
212,3.6304609165,0.5332404686,0.5078927607
213,3.752727644,0.8689754367,0.430154129
214,3.7680394781,0.2191047296,0.8867809744
215,3.9648729522,0.7193778501,0.0660201336
216,3.7634975691,0.5846042532,0.6623329051
217,3.9511454552,0.6854013048,0.1592358273
218,3.732254141,0.9275763275,0.5327442547
219,3.8199680515,0.8546582839,0.5098119219
220,3.7663689325,0.8345308793,0.7543535925
221,3.7303372023,0.1706157737,0.8069075736
222,3.9525409347,0.3481650863,0.2351060111
223,3.9481181595,0.4005468713,0.7670377528
224,3.6037651717,0.9404488932,0.526973405
225,3.9349149248,0.2401678453,0.2710991232
226,3.7255723614,0.7698841246,0.6833364304
227,3.9376584882,0.5026827022,0.6841863202
228,3.8470062969,0.504747969,0.9578561413
229,3.6876473965,0.4983254308,0.772933922
230,3.8562124084,0.3175959124,0.1434809165
231,3.7621773493,0.2098245321,0.750923279
232,3.8544963046,0.5308037664,0.9635197528
233,3.8927986242,0.052367211,0.2375197655
234,3.8656592251,0.8000263246,0.5915696843
235,3.931380804,0.0247933701,0.7341435618
236,3.8909653336,0.0085012492,0.6383158628
237,3.8727748628,0.2978357066,0.4174896154
238,3.7275085005,0.2741686569,0.6982226149
239,3.8054342994,0.1800896249,0.5274130255
240,3.6674714986,0.255509312,0.7922200026
241,3.6084727668,0.8039094828,0.8247209832
242,3.7232564966,0.7674229374,0.513163174
243,3.7185937693,0.8989245354,0.9134253188
244,3.9508573319,0.6272418491,0.9876904531
245,3.8570689596,0.4523085144,0.9501180931
246,3.8021032172,0.3378093582,0.1802335165
247,3.6866145927,0.6743014762,0.5084429772
248,3.6624047344,0.5575455767,0.4091128552
249,3.6241035518,0.1403826607,0.8463888717
250,3.8482828016,0.6093751286,0.1535804754
251,3.6135396423,0.4886485745,0.3608665256
252,3.6858370316,0.3986781256,0.2937764807
253,3.6791573886,0.4138479989,0.7794762098
254,3.7786180638,0.054100541,0.4301359628
255,3.8175848796,0.361861828,0.8056668074
256,3.814748792,0.0872239144,0.5396273532
257,3.7342190967,0.8450716171,0.7065722032
258,3.9422638287,0.4988169101,0.8835867622
259,3.9126467336,0.5939677389,0.2228886573
260,3.8624991804,0.4269138693,0.9646417943
261,3.7871749232,0.2814423019,0.3904858523
262,3.6395009101,0.1330576886,0.7631150816
263,3.6638422259,0.8606154398,0.829596562
264,3.6920248158,0.0261998125,0.7470562739
265,3.9313533386,0.3459808954,0.8392963196
266,3.9895790816,0.3403767478,0.5037889648
267,3.9906826507,0.4100249417,0.038530829
268,3.6674373852,0.4906837184,0.6629383977
269,3.9808938739,0.6572923584,0.3019259712
270,3.6472371699,0.9389097337,0.2980640655
271,3.8490473403,0.7162154516,0.9587256602
272,3.9967809974,0.4147408908,0.9373003587
273,3.9839833923,0.1942489163,0.2335346855
274,3.8758125542,0.525959499,0.4295653218
275,3.7618600499,0.5653160009,0.6911708899
276,3.8302938674,0.1671640362,0.5037983643
277,3.8618229536,0.4193234609,0.492539666
278,3.7505404221,0.1878977649,0.7803947243
279,3.7481189968,0.7722598671,0.5212333929
280,3.7322044335,0.8259167658,0.8103369738
281,3.8982340903,0.6769257742,0.7112939681
282,3.9875652587,0.7455373212,0.2258785829
283,3.8548358025,0.6073863152,0.1352440214
284,3.7621436193,0.1336172241,0.7269603405
285,3.9640034297,0.8429656294,0.1364601731
286,3.7890262732,0.410008938,0.9217953536
287,3.7266673966,0.5417031388,0.3585161776
288,3.7910919182,0.0758366845,0.3993507237
289,3.6448552058,0.7176862996,0.3620907542
290,3.6017484306,0.5039864445,0.560961623
291,3.7516675411,0.5566971924,0.8383961006
292,3.7982195737,0.8480552414,0.8665108832
293,3.9226674925,0.4485013269,0.9727578198
294,3.649679798,0.2154073184,0.79819046
295,3.7435821839,0.956963202,0.652102533
296,3.6324209275,0.189321784,0.7719382381
297,3.8609202132,0.8082405814,0.624080035
298,3.9719151719,0.7129105721,0.5582700645
299,3.9063756184,0.1197660889,0.390727123
300,3.7222520886,0.6737005198,0.810020728
301,3.9976245829,0.7901070316,0.5585375122
302,3.6505977912,0.381688933,0.5844338669
303,3.6850598988,0.7268615034,0.8449965583
304,3.7924358923,0.8143041615,0.2145052181
305,3.6534512112,0.8893308361,0.9119329351
306,3.9905515069,0.8804382742,0.8771663826
307,3.8514936435,0.2526876007,0.9606189939
308,3.9863976289,0.2407363022,0.8516727267
309,3.901232065,0.5636504824,0.9010213231
310,3.9143897679,0.4785449799,0.5224902633
311,3.9002414434,0.9884980156,0.4447453423
312,3.8413943763,0.119755165,0.4873766933
313,3.8535351804,0.7039473582,0.4982878522
314,3.7795712449,0.1929712026,0.3464843289
315,3.8162253268,0.6188665939,0.6638403847
316,3.6273537977,0.1279853902,0.7709572554
317,3.8532360663,0.1997594832,0.9621797768
318,3.8911516923,0.0965117793,0.9712429643
319,3.9415417839,0.6593583099,0.4381083821
320,3.7962036021,0.9907108524,0.5801080895
321,3.6146944852,0.2150517043,0.8789642873
322,3.6636710061,0.5731226206,0.2953776177
323,3.7555726749,0.830986852,0.8658520585
324,3.6657484432,0.7060013815,0.3116115156
325,3.7521414417,0.2755571917,0.7557076727
326,3.9297422268,0.4421234309,0.6553919217
327,3.7805853144,0.1953341151,0.357255843
328,3.7397107759,0.4357484772,0.2276222113
329,3.8940255656,0.1137121025,0.259458659
330,3.8836687167,0.3134895553,0.9208745248
331,3.6856199222,0.8622850802,0.6494459142
332,3.9221311263,0.5925024445,0.8210234695
333,3.6913218004,0.2141319685,0.7229844837
334,3.9592184291,0.0629718837,0.5655843867
335,3.9521122328,0.3766097622,0.9628391076
336,3.7568385917,0.516311005,0.4281270496
337,3.7832939258,0.7656032984,0.4937147876
338,3.8907185818,0.8261673917,0.2193298239
339,3.6028892857,0.8381532845,0.8822731665
340,3.9171552192,0.1446058371,0.1176826927
341,3.8179989544,0.699594473,0.8756438848
342,3.6055091147,0.6713379668,0.5008761436
343,3.807334975,0.7121008476,0.3013806556
344,3.6747896972,0.8543993953,0.7640304716
345,3.8360983357,0.9766130278,0.9588320533
346,3.6114540339,0.345867898,0.434942224
347,3.9810840495,0.8819390823,0.6825334463
348,3.7169354114,0.1632454768,0.4055705068
349,3.6172190985,0.3241584479,0.5765627099
350,3.66509918,0.2093039311,0.861198026
351,3.9252309128,0.3355130609,0.3680654968
352,3.7867413382,0.4756008917,0.8965978753
353,3.7527751149,0.2923155059,0.2314161091
354,3.8713565983,0.2457189235,0.5097093856
355,3.6011494887,0.4112647658,0.4783223713
356,3.6399418328,0.8768232358,0.9029669804
357,3.9972630625,0.6858422093,0.0580085781
358,3.967528192,0.6329017563,0.057092116
359,3.849867062,0.7128154286,0.4994032132
360,3.8775813988,0.6386269707,0.1805114116
361,3.8774066051,0.2763234165,0.7675651036
362,3.9621529789,0.0173505019,0.6645080006
363,3.8353023885,0.7457581543,0.1518900973
364,3.6585325841,0.2823925819,0.3990046405
365,3.9364508688,0.4916782353,0.3154422323
366,3.9770854089,0.5700756314,0.6740210419
367,3.8245845968,0.3814054215,0.4097076191
368,3.6697808735,0.6871588922,0.5939371901
369,3.7971571111,0.5340925463,0.9316488566
370,3.8386326903,0.5522058162,0.1500710956
371,3.9286197957,0.3585446346,0.3757793314
372,3.7216636897,0.3372855568,0.4640133163
373,3.92373375,0.658737976,0.2182314125
374,3.6982775623,0.6202040901,0.8033531933
375,3.7825967522,0.7883376578,0.5496907111
376,3.6467265541,0.4687971973,0.3081297334
377,3.96421259,0.2264222819,0.634412748
378,3.8889389564,0.2410186782,0.8207060317
379,3.6292899324,0.6244361656,0.6429938017
380,3.8329261887,0.6015450325,0.4979490777
381,3.725555912,0.5939181138,0.9069753819
382,3.9991931565,0.3470369746,0.2354464589
383,3.6242774803,0.8728393047,0.8205035469
384,3.6338877751,0.0471314769,0.3022792956
385,3.7265285386,0.3951880082,0.5959813888
386,3.6794066447,0.345838638,0.3546846882
387,3.6141638866,0.3805740267,0.5981392758
388,3.9210602201,0.3756341164,0.2748779212
389,3.8424122861,0.120948825,0.1467897055
390,3.8661081913,0.8754371985,0.4236462943
391,3.7141307282,0.5992912657,0.9113677338
392,3.7061215406,0.6813163864,0.7030819909
393,3.6181819479,0.634130901,0.6264807803
394,3.8832186734,0.639809374,0.7163567546
395,3.8369457686,0.1898970178,0.4917433159
396,3.9909814851,0.0820582468,0.8808472147
397,3.8003678409,0.9148361729,0.2905219048
398,3.9198151811,0.526607786,0.3252371896
399,3.7743473495,0.3209884057,0.2009409487
400,3.8874649978,0.938225037,0.4277252648
401,3.9078288019,0.59484057,0.4733893568
402,3.8778902913,0.7388327697,0.8283349505
403,3.6213184794,0.1243395015,0.8911589
404,3.6997762154,0.7993429875,0.7669703788
405,3.6017954105,0.2590094398,0.8667231049
406,3.682899779,0.6337408126,0.5238154113
407,3.7884939203,0.651689558,0.5317572259
408,3.8363634165,0.8988350128,0.4925471266
409,3.6676758271,0.2194482154,0.916130514
410,3.6820291169,0.329382388,0.386790508
411,3.6643470739,0.3513275633,0.3303612045
412,3.6645298059,0.7661164083,0.8018209766
413,3.9082700544,0.6395812207,0.3168958789
414,3.6396698897,0.087201171,0.7807154111
415,3.6983817478,0.6255534809,0.7970227578
416,3.7958862274,0.6912838391,0.5053266354
417,3.7845797418,0.8227396401,0.6480492571
418,3.6840574688,0.7693908391,0.895336799
419,3.7052795294,0.0092030282,0.3294848076
420,3.9692161986,0.7074974238,0.0505232609
421,3.6351572079,0.4000685414,0.3039438227
422,3.8639857678,0.4699994695,0.9588961173
423,3.8457653249,0.5899590514,0.47034538
424,3.666761431,0.1751011221,0.7447741438
425,3.7791011775,0.5279792955,0.6045232009
426,3.6542697493,0.0990526171,0.781953632
427,3.7558745548,0.6019895599,0.7246672454
428,3.7658054033,0.9460341122,0.7999699129
429,3.7339323747,0.1539013215,0.4890456722
430,3.9501579992,0.6827204335,0.2584227844
431,3.6317518382,0.4026121439,0.5080408871
432,3.817618907,0.6676204247,0.2228687175
433,3.64809287,0.4750746215,0.2928118823
434,3.7924899294,0.9399946556,0.9462773064
435,3.6609219439,0.2320486601,0.8844456325
436,3.7506311637,0.8098987371,0.9280242451
437,3.8193524457,0.9806578696,0.2662219126
438,3.8917234688,0.9125057448,0.7663205889
439,3.7315342737,0.3077951324,0.7835728865
440,3.6585491018,0.4904774028,0.6017833408
441,3.6333290724,0.978684555,0.8266173596
442,3.7532820903,0.7399576088,0.5711981455
443,3.8287469143,0.5422760409,0.9568042968
444,3.6766716627,0.434999851,0.2771563656
445,3.6874119219,0.3921673782,0.7193263332
446,3.8506546299,0.1518835953,0.4733448553
447,3.681684257,0.6667567692,0.3396930157
448,3.9210012092,0.8259750715,0.9619938981
449,3.9208167925,0.0555054755,0.134083192
450,3.9612749308,0.8839577846,0.1450227695
451,3.9702136332,0.8478550065,0.5778273222
452,3.9653716343,0.788560375,0.8118524893
453,3.9884181137,0.8696593649,0.2378863131
454,3.8672333235,0.2474746827,0.7092594305
455,3.6389307467,0.946603092,0.3018170155
456,3.6303632262,0.4488724988,0.3047021577
457,3.8555373362,0.5688817947,0.5431396233
458,3.9782461986,0.298675151,0.2786733731
459,3.7693518868,0.600643533,0.2622472943
460,3.8896900647,0.2775224963,0.1814114433
461,3.6933836577,0.2807941593,0.7496437799
462,3.7133111153,0.6714813966,0.8404554995
463,3.7101076372,0.3307069624,0.4221122779
464,3.9161316326,0.3733722051,0.6250402624
465,3.9211653198,0.5677336242,0.4428450565
466,3.844436831,0.9494631311,0.4730583563
467,3.9989817498,0.6862595701,0.0175804301
468,3.9234447926,0.6758924089,0.8472734453
469,3.8429778716,0.8658462177,0.9606760694
470,3.926405183,0.049525309,0.0752355735
471,3.9159365315,0.0711149172,0.975681988
472,3.8650057293,0.8267438893,0.1260958761
473,3.6890771965,0.257235697,0.7411023877
474,3.9558647659,0.5620585128,0.0431904357
475,3.7850443501,0.227024261,0.214305951
476,3.7848855877,0.8010593756,0.9062730069
477,3.9668913766,0.4127390377,0.0333280799
478,3.9134189329,0.9868273258,0.0928076123
479,3.7899745718,0.8778131594,0.6794027845
480,3.8788260484,0.1667109857,0.6907895247
481,3.9314339505,0.9680196532,0.8764994925
482,3.6690185741,0.1153556809,0.8209908394
483,3.718712746,0.5520358063,0.5500921042
484,3.7703793545,0.9575781053,0.8865090094
485,3.9737419447,0.8062660615,0.8357977638
486,3.638189902,0.5640488321,0.5266744624
487,3.7304885483,0.0234074164,0.8600321745
488,3.8801227465,0.5440499644,0.6417108382
489,3.8053945893,0.2836221574,0.3777972999
490,3.7080546862,0.4886316921,0.7106025058
491,3.6032811743,0.5596818575,0.5946351661
492,3.8489811625,0.3987178147,0.1399205405
493,3.6281733962,0.2255809698,0.9069223379
494,3.6334097773,0.0176096658,0.9077787208
495,3.7108585711,0.6917787981,0.4556038989
496,3.9060674556,0.0591578544,0.8774160503
497,3.8945035644,0.390043887,0.1347409336
498,3.6442977481,0.2934390644,0.6557450615
499,3.8724064523,0.8238050322,0.5716290034
500,3.8148798548,0.9859611644,0.616963591
501,3.8252176331,0.4185468531,0.6361779125
502,3.650153586,0.4204990472,0.3769159062
503,3.7630531509,0.1987078839,0.8957736733
504,3.9428034703,0.9385116189,0.8713983996
505,3.7433147529,0.5055888783,0.4999116272
506,3.8711816149,0.7333860158,0.1351415848
507,3.7449878174,0.7763495673,0.8496467077
508,3.8217245259,0.9505526839,0.5475738223
509,3.8666409592,0.1905533941,0.4217969581
510,3.6138065467,0.3199340578,0.5678905135
511,3.942181639,0.1504970446,0.6861342107
512,3.7013354358,0.5555241108,0.7680776778
513,3.9649136405,0.3570679995,0.9829340081
514,3.9502998855,0.4164171653,0.8998266589
515,3.7834616384,0.1709774071,0.4403227184
516,3.627438194,0.7659036832,0.9068588902
517,3.7093048173,0.0772000702,0.2972648505
518,3.7750663889,0.7907201036,0.3602076749
519,3.9091274117,0.2488539433,0.3442281508
520,3.9933686693,0.3589054569,0.1714651487
521,3.7678972456,0.9291859001,0.5206657697
522,3.9311685865,0.8132614392,0.7189851803
523,3.9764805265,0.3231931987,0.8769389156
524,3.67726432,0.5797439581,0.673018207
525,3.8679593646,0.0541943596,0.1381339325
526,3.8401011551,0.3251294022,0.1493434611
527,3.9332099861,0.1353042754,0.9532100617
528,3.7475307074,0.9717488789,0.6952185426
529,3.8528811428,0.687593988,0.1453936368
530,3.9570652785,0.9828349129,0.9861988555
531,3.8283079193,0.5460989997,0.7883477473
532,3.9296432278,0.3389048886,0.2401976444
533,3.9202319702,0.9237821305,0.6528050523
534,3.6168269047,0.7868938752,0.8742694091
535,3.6898601268,0.5439307398,0.5120542966
536,3.9455829503,0.4971772719,0.6381909602
537,3.6731068562,0.1575739573,0.8561504093
538,3.9667603318,0.4718252011,0.8574257902
539,3.8444490946,0.1351889272,0.4997305826
540,3.9948255214,0.1878731938,0.22877291
541,3.9433876745,0.3299522351,0.3628758898
542,3.9338832126,0.6552967105,0.9462054674
543,3.6957141512,0.3755628339,0.8293900388
544,3.7719045636,0.6064301783,0.8262094124
545,3.7637689815,0.7292710056,0.7015622672
546,3.8524710287,0.2241334287,0.9626917926
547,3.9055307047,0.0116149406,0.9758333188
548,3.713780294,0.2065568429,0.3923475136
549,3.8357162557,0.8409842008,0.4934579685
550,3.6084733238,0.983542758,0.8768017037
551,3.6403337376,0.6932947262,0.4159375942
552,3.653970414,0.8135816219,0.8075851147
553,3.7975442859,0.5731401699,0.7331589485
554,3.9055830418,0.2375471486,0.5738080912
555,3.8052760246,0.2337986381,0.5778015573
556,3.8157683011,0.7203388772,0.9529858649
557,3.6422295649,0.391019204,0.6446186444
558,3.9758420475,0.1860040303,0.7291336542
559,3.6738510182,0.3096614738,0.3213616022
560,3.660199347,0.5941135102,0.2909736156
561,3.6331322622,0.0792592571,0.30630849
562,3.7028699124,0.1135660445,0.5621563009
563,3.7166203462,0.7488463419,0.7747348185
564,3.6375139604,0.2560033252,0.8279303121
565,3.6051057652,0.9402008586,0.6062659594
566,3.6828327317,0.6818994668,0.7573351896
567,3.9404679695,0.8018990229,0.2209225351
568,3.6132682366,0.5480431536,0.6121899656
569,3.7255499691,0.7164725271,0.2789042259
570,3.9292077579,0.9659713896,0.7418914304
571,3.8056974705,0.0468495866,0.5745423173
572,3.8813558981,0.1915875992,0.9654262506
573,3.6023090068,0.2766471933,0.788871717
574,3.7554423558,0.4596179348,0.5433350369
575,3.60649498,0.7695467608,0.8873784045
576,3.6461212803,0.6943184656,0.5429173319
577,3.9735399026,0.8762723156,0.2956814002
578,3.9100359605,0.1175311673,0.6693887362
579,3.8917709302,0.4864700337,0.1810396202
580,3.6600489192,0.1836276632,0.8009986353
581,3.7778281211,0.3745667013,0.9252825109
582,3.8175115258,0.6700643605,0.5580573165
583,3.6623050519,0.0223119621,0.91557312
584,3.9602466755,0.8259579976,0.0674558889
585,3.7344162731,0.0116376642,0.3456412137
586,3.9014186595,0.7402316219,0.2745773649
587,3.9279278149,0.3149417989,0.7973576629
588,3.7004772838,0.1099836948,0.8310013016
589,3.7790948281,0.9730703163,0.9275806645
590,3.7864855299,0.1095269762,0.9148854017
591,3.6404766423,0.8902906578,0.8799769329
592,3.7325842151,0.5004645314,0.8875251491
593,3.88304633,0.9227210072,0.8190970856
594,3.9477586225,0.6776377368,0.9222999845
595,3.8868244309,0.5226333035,0.4688665928
596,3.9977767096,0.2035632046,0.846212184
597,3.9210424046,0.7731035196,0.2065910059
598,3.9379031972,0.7667044823,0.980658244
599,3.6042060752,0.7528445339,0.8292557182
600,3.6679564372,0.5624823416,0.5963105461
601,3.9443139419,0.4207139439,0.7954761418
602,3.7932184096,0.0156693513,0.8992929984
603,3.7466553621,0.7335292553,0.7678424137
604,3.7227886622,0.3147884502,0.3334227496
605,3.9712153944,0.183018294,0.1163420254
606,3.6352415152,0.0564729908,0.6469495735
607,3.8069740922,0.7387056703,0.9382118183
608,3.6903094283,0.4833880849,0.7874962861
609,3.8564361595,0.7639338487,0.9539778691
610,3.6051704604,0.8874331469,0.8432400911
611,3.7968803127,0.733244697,0.9035109601
612,3.7511424826,0.0415323016,0.2536948482
613,3.9919812639,0.2816109343,0.5002193213
614,3.7720390182,0.5943514383,0.7285189191
