,k,xzero,xt,ComponentA,ComponentB,Fatigue
33,3.1197916965,0.9245854605,0.5476782577,0.2271440371,2.4111496157,23.1475669912
34,3.0354740589,0.5674306151,0.6023883594,0.2729526845,2.2069332658,12.9761647108
35,3.0584465614,0.3703203517,0.583860766,0.2568973153,2.2727398508,15.1890385411
36,3.1098122862,0.5597219907,0.5527693387,0.2312065214,2.3908034053,21.5659358489
37,3.0108846102,0.5479239345,0.629542408,0.2977349572,2.1144390098,9.1030911245
38,3.2655255246,0.464254362,0.4901639738,0.18393455,2.6648825568,32.5941568182
39,3.2361107811,0.3888035924,0.4999852125,0.1909723054,2.6181032446,30.6539490237
40,3.2686647478,0.8205578102,0.8167816518,0.5108463304,1.5988793559,32.7781962459
41,3.1025014989,0.4977934125,0.55665277,0.2343322166,2.3754854456,21.0735279235
42,3.0565323147,0.313185998,0.741917478,0.4147460453,1.788847625,12.7511332537
43,3.1500203126,0.6687788716,0.5334851742,0.2160269038,2.4695311775,22.311391636
44,3.1148382937,0.1119008312,0.5501765722,0.2291326188,2.4011272383,19.1931044468
45,3.2564895752,0.8985160625,0.4931112758,0.1860321414,2.6506778462,29.9843927834
46,3.1892231679,0.4772840905,0.5171929116,0.2036369303,2.539779552,27.9517600608
47,3.1397763546,0.8263619452,0.7803839471,0.4618899249,1.68954529,24.417750556
48,3.2630148966,0.5551020501,0.4909769769,0.184511934,2.6609497072,32.3280820206
49,3.0167045895,0.162483423,0.7090435941,0.3776853266,1.8773395313,9.957674035
50,3.2144639084,0.3485128144,0.5076668349,0.1965729702,2.5825871903,28.6532781108
51,3.0592236626,0.6154272405,0.5833041944,0.2564238514,2.2747657486,15.4751042558
52,3.0853965085,0.0750484741,0.5663351597,0.2422277079,2.3380279842,19.414384618
53,3.2169181839,0.3204907916,0.5067746185,0.1959180959,2.5866656985,27.1073665097
54,3.1509886789,0.4818951723,0.533056785,0.2156960764,2.471332784,25.1968265027
55,3.1027089068,0.6586001075,0.5565406657,0.2342416586,2.3759252264,18.5224005058
56,3.2015103824,0.9255939226,0.5124730576,0.2001204863,2.5608225677,29.1062463965
57,3.1225395973,0.3338636668,0.5463154773,0.2260633336,2.4166478867,20.2011207356
58,3.1624811728,0.877241801,0.7881265694,0.4719191534,1.6700457352,24.7573137678
59,3.1889565824,0.8778275641,0.7962850365,0.482702843,1.6496381739,26.8830784212
60,3.0423165071,0.2497917675,0.7323222731,0.40362604,1.8143583429,14.1241812492
61,3.169598373,0.9993495132,0.5250936628,0.2095962772,2.5052623537,26.4703493386
62,3.1817686262,0.1247012078,0.7941517099,0.4798611007,1.6549616312,26.2469783929
63,3.090810941,0.5236281885,0.5631711049,0.2396314193,2.3501555284,19.8928804173
64,3.1769282675,0.5849187158,0.522087248,0.2073177865,2.5182945311,26.791474471
65,3.0124285617,0.5086459136,0.6275213701,0.2958206398,2.1212900172,9.5498018784
66,3.0059812131,0.2340304496,0.6961155749,0.3642679903,1.9109984779,8.5483715705
67,3.2452388206,0.2507193393,0.8112778286,0.503134097,1.612448517,31.0353791853
68,3.2726643707,0.3616078162,0.4878763606,0.1823149321,2.6760087881,32.4791580121
69,3.0629939184,0.5933513726,0.5806549182,0.254176958,2.2844514417,16.3606025955
70,3.218663953,0.9038975282,0.506143406,0.1954554888,2.5895584169,29.1167762109
71,3.0801809519,0.145012683,0.7551753847,0.4305191334,1.7541041178,18.188680791
72,3.1397507705,0.4557788329,0.5381218467,0.2196252293,2.4501822876,24.2923443925
73,3.0994432175,0.9611216538,0.7643190862,0.4416804912,1.7304796147,16.6861648606
74,3.2677693863,0.8456793135,0.8165780234,0.5105588764,1.59938072,32.7559222705
75,3.062409847,0.0895291438,0.5810600195,0.254519796,2.2829659176,16.6714795626
76,3.267519718,0.5887407584,0.4895213787,0.1834788491,2.6679989607,32.4215983098
77,3.0756099481,0.5237490993,0.5723240933,0.2471853349,2.315364273,18.3022349757
78,3.2636480747,0.4540954832,0.4907715154,0.1843659297,2.6619425633,32.4840176532
79,3.2977951845,0.864185605,0.8231416833,0.5199087825,1.5832425052,34.2248737942
80,3.052972251,0.4091160908,0.5878894532,0.260339795,2.2581620811,15.3175936006
81,3.248367112,0.9598240283,0.4958121699,0.1879651916,2.6377871655,31.4081818997
82,3.1297515898,0.9063922632,0.5428129534,0.2232987775,2.4308818858,23.3723728913
83,3.2549489982,0.7329649158,0.8136047475,0.5063802716,1.6067070403,30.9852835551
84,3.1680059755,0.7699733184,0.7898999208,0.4742439505,1.6655983063,26.2368071873
85,3.2053971665,0.6205207715,0.5110133219,0.1990395014,2.5673965126,28.3817594096
86,3.2839412097,0.8705710787,0.8201792344,0.5156670838,1.5905208226,33.3718886094
87,3.2802016612,0.2014176612,0.8193606272,0.5145013218,1.5925335709,33.3268289482
88,3.0348624394,0.7041725091,0.7265139133,0.3969922571,1.8300455496,11.2870822343
89,3.1693545719,0.7272265613,0.7903267974,0.4748051423,1.6645287233,25.5472670696
90,3.0956034401,0.3320324828,0.5604498333,0.2374110396,2.3606730092,16.6758622745
91,3.0071718704,0.1823643662,0.6975977687,0.3657540224,1.9072866628,8.7256273142
92,3.1235475884,0.8174590392,0.7743292151,0.454180419,1.704893436,23.0842163561
93,3.0366693227,0.883471888,0.6015392496,0.272166258,2.2101903963,10.5101639135
94,3.0884659232,0.1242022927,0.759255993,0.4354706465,1.7435296709,16.4824120155
95,3.2928684434,0.5977853074,0.4815860118,0.1778994184,2.7070690624,33.7253674563
96,3.2037789497,0.6994573644,0.8005122096,0.4883808123,1.6391147837,26.1569488381
97,3.2811923344,0.2116412801,0.8195782988,0.514811038,1.591998303,33.3407036936
98,3.1978265712,0.5199465109,0.5138710297,0.2011586365,2.5545561383,28.4863185866
99,3.0679765816,0.1825246221,0.7486750547,0.4227273268,1.7710590426,17.567888833
100,3.0122641035,0.8029457571,0.7039752162,0.3723403721,1.8906765663,9.7762224721
101,3.1291751605,0.4646913451,0.543089088,0.223516054,2.4297542765,23.4370505442
102,3.2121079597,0.6043713957,0.5085286935,0.1972066543,2.5786588956,29.0042257062
103,3.1052622831,0.9954790633,0.5551699921,0.2331360031,2.3813138459,19.8512565851
104,3.2302038158,0.2496810238,0.8075375048,0.4979595162,1.6216930865,30.1811087206
105,3.0574897064,0.8856603226,0.584553921,0.2574871864,2.2702252845,13.8281426077
106,3.2455090704,0.6573684251,0.4967745695,0.1886564967,2.633222699,30.1674040116
107,3.2283633455,0.3019398517,0.8070675286,0.4973130515,1.6228561189,27.5972756941
108,3.2905867579,0.2328708439,0.8216138388,0.5177166698,1.5869951398,33.6832846582
109,3.0704386118,0.7200562288,0.7500389835,0.4243526106,1.7674899711,16.6914076816
110,3.2042051223,0.8814379787,0.8006305135,0.4885406311,1.6388207297,27.6557350485
111,3.2377965173,0.8159462821,0.8094479794,0.5005959577,1.6169686688,31.0335374664
112,3.1384760772,0.2211463159,0.7799161739,0.461290199,1.6907278231,24.1925124569
113,3.1848553708,0.4680274875,0.5189111644,0.2049251639,2.5321983618,27.651139856
114,3.0872863957,0.4349718285,0.5652194656,0.2413104167,2.342292029,19.4783784984
115,3.0996093606,0.3635475378,0.5582282893,0.2356069898,2.3693197297,19.7177524899
116,3.2164217022,0.3442829071,0.5069546495,0.1960501436,2.5858417656,28.6544739011
117,3.2784907237,0.6071253022,0.4860350878,0.1810166863,2.6850291969,32.890579693
118,3.2908167067,0.5811593038,0.4822129079,0.178336974,2.7039424131,33.7154987814
119,3.1385739353,0.072624977,0.5386645628,0.2200485223,2.4479353786,24.140158865
120,3.2519323508,0.3357444209,0.4946204923,0.1871110203,2.6434599706,30.6448345646
121,3.0694844604,0.9389499856,0.5762738172,0.2504862097,2.3006209323,18.280945734
122,3.2570303776,0.6230882843,0.4929332068,0.1859050603,2.6515319489,31.5317620493
123,3.2000760877,0.2933359502,0.7994769049,0.4869843352,1.6416891615,26.9502071032
124,3.1339090813,0.4753313902,0.5408401313,0.2217498278,2.4389652822,23.8383386976
125,3.0807239192,0.6854761635,0.7554503727,0.4308513137,1.7533899714,14.8882089784
126,3.0990147427,0.1820224015,0.7641280905,0.4414448886,1.7309705249,20.801698517
127,3.2846047756,0.0389542761,0.4841270012,0.1796763691,2.6944389154,32.6681525176
128,3.2966117017,0.7081415897,0.8228928162,0.5195510549,1.5838536145,31.7723038101
129,3.2974577095,0.4906555291,0.4801931389,0.176929204,2.7140411417,34.2821529552
130,3.1358861419,0.5798505946,0.539913279,0.2210241502,2.4427795724,23.6953115123
131,3.1241912773,0.9567856181,0.5455040133,0.2254211787,2.4199323971,22.2485358972
132,3.1308634214,0.2066544953,0.7771185595,0.4577178494,1.6978113492,23.6329278031
133,3.2234060097,0.6264210398,0.5044429821,0.1942121279,2.5973814695,29.4616145829
134,3.2533617955,0.5587528367,0.4941454237,0.1867710636,2.6457279527,31.772639885
135,3.1944555253,0.6603874529,0.515162966,0.2021205736,2.548790342,26.6051404615
136,3.1304919807,0.6735053351,0.5424592169,0.2230206091,2.4323277524,19.4594332609
137,3.2009111928,0.454365401,0.5126994758,0.2002884342,2.5598057021,28.714156456
138,3.0047548322,0.1444036334,0.6923422768,0.3600555937,1.9228760471,6.3626736563
139,3.0770031006,0.6920110148,0.7535429816,0.4285514162,1.7583490641,15.5619473805
140,3.1555922768,0.7158619112,0.7858577125,0.4689599918,1.6757457486,24.1491582935
141,3.058498412,0.9651470529,0.7431344349,0.4161765026,1.7856232396,16.1701386075
142,3.017619452,0.6272382245,0.6217833505,0.2903597094,2.1414243449,8.5260651973
143,3.0723482392,0.5655134643,0.5744063197,0.248922383,2.3075719942,17.7393118826
144,3.2767442184,0.5719822932,0.4865846433,0.1814036669,2.6823308016,33.0125731218
145,3.2336544595,0.3656128657,0.5008362835,0.1915886467,2.6141229778,30.2436343661
146,3.2315593072,0.616067663,0.5015662353,0.1921181005,2.6107182714,30.1024752956
147,3.0781083768,0.7867571577,0.7541152471,0.4292403963,1.7568599172,18.6784195179
148,3.0061565573,0.3047243103,0.6931657123,0.3606516604,1.9219812034,5.8291090013
149,3.1249579736,0.6033708969,0.5451292546,0.2251249511,2.4214519627,22.5370067709
150,3.2480735592,0.5210094207,0.4959107258,0.188035925,2.637319043,31.5721793479
151,3.1574775735,0.6522933663,0.5302233027,0.2135147983,2.4833093863,24.1063670174
152,3.2759018347,0.2881534773,0.8184090189,0.5131495665,1.5948742282,31.4819211331
153,3.1196206539,0.8780212755,0.7727881752,0.4522363803,1.7088147014,20.236742779
154,3.2202226022,0.3571509264,0.5055822343,0.1950446959,2.592135264,29.2433157268
155,3.0205239748,0.3740852931,0.6181229133,0.2870233718,2.153562999,9.3993781578
156,3.1419899427,0.4150000985,0.5370958509,0.2188262135,2.4544401809,24.321352633
157,3.2933161089,0.0111287468,0.8221957371,0.5185504243,1.5855656433,32.365551967
158,3.2115455713,0.5773759799,0.5087352172,0.197358661,2.5777192375,29.1694154705
159,3.2827698357,0.3132602594,0.4846971037,0.1800762956,2.6916208043,31.00081726
160,3.0432858956,0.8303263402,0.7330301852,0.4044384983,1.8124639182,14.4710236134
161,3.2596808469,0.3705884768,0.4920636036,0.1852851038,2.6557105429,31.8605886783
162,3.0153206289,0.8908013815,0.6247067495,0.2930641477,2.1316382587,8.9727430832
163,3.0581587523,0.2345081889,0.7429266275,0.415932502,1.7861711311,16.3330704028
164,3.2112263964,0.7789707713,0.8025549421,0.4911474372,1.6340407816,29.1951720061
165,3.0396401909,0.392051245,0.5986706413,0.2696837895,2.2198985054,13.1821719589
166,3.074931147,0.3356154176,0.5727538166,0.2475432205,2.313752788,14.5004249716
167,3.1704835425,0.3224205721,0.5247269139,0.2093176123,2.5068454976,23.2541626804
168,3.2124261377,0.5902189698,0.5084119856,0.1971207817,2.5791901864,29.1425325255
169,3.1385184455,0.7755502177,0.7799314609,0.4613097872,1.6906891692,24.0844539609
170,3.1001281456,0.5768000218,0.5579439642,0.2353766531,2.3704303585,20.5390046995
171,3.1494935152,0.2495828402,0.7837925302,0.4662811605,1.680944024,24.795965809
172,3.1628458261,0.7168343507,0.7882448567,0.4720738971,1.669748871,24.715519684
173,3.1960464581,0.6019430793,0.5145517224,0.2016651567,2.5515152483,27.9708838678
174,3.0643756817,0.5085941654,0.5797039329,0.2533731897,2.2879450408,17.0637540687
175,3.045325173,0.9537297003,0.5939013965,0.2655233134,2.2367203427,13.1604888615
176,3.2346604082,0.6977425744,0.8086643345,0.4995128707,1.6189059019,27.4661018514
177,3.0870739467,0.6831230081,0.7585870626,0.4346557091,1.7452596313,14.8835318174
178,3.1289519901,0.4498596528,0.5431961698,0.2236003424,2.4293172537,23.3924597222
179,3.1964270645,0.1751439123,0.798443412,0.4855941025,1.644260933,28.4294949685
180,3.1230145576,0.7958823699,0.7741218893,0.4539184507,1.705420628,22.9680109603
181,3.0544998512,0.9358844684,0.5867450197,0.2593592121,2.2622871763,16.5578014927
182,3.107395285,0.3194444917,0.7677748804,0.4459619435,1.7216152444,15.3266413268
183,3.2162995443,0.3092099739,0.8039173333,0.493001019,1.6306605917,24.554898588
184,3.1564406002,0.2554112831,0.7861406866,0.4693281352,1.6750342195,25.2331362529
185,3.0656740343,0.2101689291,0.7473729016,0.4211803647,1.7744723266,17.3451825288
186,3.1563082327,0.9859513395,0.7860966004,0.4692707627,1.6751450611,25.2549446357
187,3.2669801364,0.5758304388,0.4896949744,0.1836018981,2.6671563822,32.4623281525
188,3.2049737724,0.3110654218,0.8008434485,0.4888284147,1.6382915241,22.8191863207
189,3.23713345,0.1563038552,0.809282925,0.5003676407,1.6173766231,30.8744091681
190,3.274531192,0.4649104651,0.4872839165,0.1818966897,2.6789048079,33.0850516649
191,3.1150720501,0.5090259206,0.5500574298,0.2290375677,2.4016035247,22.2109512493
192,3.2488733076,0.567989417,0.4956423793,0.1878433655,2.6385940115,31.4781504684
193,3.049560861,0.7325403461,0.7374103717,0.4094942432,1.800783244,14.5689991319
194,3.0739380755,0.1043196728,0.5733856186,0.2480700193,2.311386198,17.0416477952
195,3.2764266109,0.8080795779,0.8185257601,0.5133152003,1.5945870287,33.1326504106
196,3.1097491606,0.4799369855,0.5528022896,0.2312329448,2.3906727045,21.7508422134
197,3.0398141681,0.9947145067,0.5985518962,0.2695745406,2.2203576603,12.9040211578
198,3.2490556449,0.2457083472,0.8122004728,0.5044187327,1.610171114,31.3202174692
199,3.2962051114,0.5528304103,0.4805720393,0.1771928605,2.7121410991,34.1077820451
200,3.1574098683,0.4584295406,0.5302525415,0.2135372458,2.4831852611,25.6702280315
201,3.2333118834,0.3951350063,0.5009553827,0.1916749804,2.6135668916,30.5326375816
202,3.1086584333,0.482140268,0.5533731929,0.2316910198,2.3884101906,21.6515888388
203,3.0395080199,0.0671606013,0.5987793848,0.269780071,2.2195093305,13.9968356972
204,3.130270201,0.615063005,0.5425650658,0.2231038258,2.4318949433,22.8264582679
205,3.2930753343,0.8116754613,0.8221445721,0.5184770582,1.5856913226,34.013295733
206,3.2583312472,0.0765960574,0.4925057555,0.1856001881,2.6535843547,31.8273306253
207,3.0301973198,0.4224959472,0.6074179501,0.2774127504,2.1895819472,12.2141655918
208,3.1350738083,0.8056924842,0.7786785185,0.4597067619,1.6938591797,24.0097205188
209,3.2772706694,0.5155864211,0.486418777,0.181286824,2.6831446785,33.1992711122
210,3.2913200484,0.5620750051,0.4820588734,0.1782294113,2.7047100139,33.8241434944
211,3.2285482797,0.7724654332,0.8071148764,0.4973781423,1.6227389339,30.1791330588
212,3.0394559283,0.1667124957,0.7301785274,0.4011733834,1.8201071097,13.7306685435
213,3.2957754613,0.8236767528,0.8227165048,0.5192977763,1.5842865932,34.2051253604
214,3.2686582893,0.4055726218,0.489155741,0.1832198152,2.6697753216,32.6368660632
215,3.0892180923,0.6088715262,0.564091713,0.2403852054,2.3466157668,19.0588838643
216,3.1018763328,0.9105165528,0.5569913806,0.2346058653,2.3741579517,21.2003866429
217,3.0904857612,0.0297127789,0.760215354,0.4366416257,1.7410510341,19.5102533683
218,3.2417687935,0.8580403964,0.8104297928,0.5019562206,1.6145427819,31.1885181672
219,3.239598918,0.4515810969,0.4987852381,0.190105051,2.6237348005,31.1092157434
220,3.2560018472,0.6350458419,0.4932720548,0.1861469219,2.6499071256,31.3045781735
221,3.2598835105,0.6602052134,0.4919973223,0.1852378946,2.6560295524,30.9520167753
222,3.0958990206,0.7621704197,0.7627236472,0.439715696,1.7345836281,20.2370455265
223,3.2840017611,0.6304818273,0.4843141144,0.1798075785,2.6935133565,32.9438738632
224,3.033752631,0.5876383408,0.6039915525,0.2743688274,2.2013854791,12.4701980439
225,3.0094799792,0.078637237,0.6311989348,0.2993432729,2.1086123926,9.3209601134
226,3.2247350419,0.7715155618,0.8061329341,0.4960299375,1.6251699207,29.9420720978
227,3.000514794,0.5610422649,0.6428907319,0.3109501231,2.0675043496,7.1731906978
228,3.1517725574,0.5040899266,0.5327110819,0.2154293042,2.4727883885,25.2430372631
229,3.0855770699,0.1954904459,0.7578604589,0.4337719732,1.7471402157,19.5092461092
230,3.0124394604,0.9615911147,0.7029807781,0.3710011812,1.8948208623,8.4879366581
231,3.1251276803,0.8618716072,0.7749404609,0.4549535349,1.7033397953,22.640007282
232,3.2665534139,0.9198693761,0.4898324051,0.1836993428,2.6664896987,32.6952065457
233,3.2947624218,0.1244663869,0.8225024004,0.5189903798,1.5848124212,33.5435757378
234,3.0362468117,0.5773326046,0.6016837163,0.2723312325,2.2093819755,12.98555776
235,3.1582371561,0.8846959763,0.786736599,0.4701042657,1.6735363971,22.1741531697
236,3.0198612075,0.6457402802,0.6202513306,0.2887908018,2.1477530682,7.4055244248
237,3.1840617896,0.0477718247,0.5192257302,0.2051614732,2.530814982,27.1173708221
238,3.1895378779,0.5584025829,0.5170699513,0.2035449084,2.5403236827,27.8169135331
239,3.0295240677,0.7489717837,0.7219920727,0.3919196856,1.8421939476,12.1096571579
240,3.1481817272,0.2637432386,0.7833410646,0.4656973939,1.6820817014,24.4624399383
241,3.1818671774,0.6545529607,0.520099526,0.2058186512,2.5269795668,25.9276208812
242,3.2568930631,0.0018429388,0.8140626916,0.5070216004,1.6055779299,30.9950343956
243,3.2990394061,0.537625412,0.4797160396,0.1765975021,2.7164372876,34.2937918121
244,3.2528256632,0.9283315721,0.4943234234,0.1868984017,2.6448777457,32.1767003797
245,3.051342145,0.3827603593,0.5891292941,0.2614044943,2.2537075946,14.6228127195
246,3.0879591872,0.7481793886,0.7590132248,0.4351747479,1.7441573265,19.2533408843
247,3.1532336756,0.8259369353,0.7850655196,0.4679307612,1.6777386415,25.4649079782
248,3.2012114547,0.4425131133,0.512585968,0.2002042293,2.5603153825,28.7137822658
249,3.2973167999,0.2362193918,0.8230411792,0.5197642845,1.5834892927,33.9912097843
250,3.1437602983,0.4934472822,0.536290718,0.2182003087,2.4577908307,24.6295257409
251,3.2556940216,0.4993336622,0.4933736201,0.1862194486,2.6494204762,32.035523158
252,3.2991461414,0.1139464215,0.8234248326,0.5203161017,1.5825472822,33.1917621903
253,3.1591434885,0.5020960499,0.5295059817,0.2129644875,2.4863581144,25.80298138
254,3.0098053564,0.3203948537,0.6907882797,0.3568658284,1.9357086745,3.8860604228
255,3.1372963415,0.5167873146,0.5392565085,0.2205107188,2.4454888702,24.0825453259
256,3.2707183187,0.314331374,0.4884964733,0.1827532382,2.6729839549,30.3048673846
257,3.2530780145,0.4460502375,0.4942396139,0.1868384402,2.6452779925,31.8815699642
258,3.292798121,0.7980819661,0.8220856237,0.5183925447,1.5858361239,33.9156907238
259,3.0213767838,0.3505523698,0.6187881172,0.287404986,2.1530180316,7.510902056
260,3.1882201834,0.4003446715,0.517585538,0.2039309149,2.5380435245,27.6587183023
261,3.1195134433,0.6291280058,0.5478171575,0.227254346,2.4105904559,21.5888392455
262,3.0674702518,0.2749202306,0.7483909547,0.422389417,1.7718032806,16.7505641355
263,3.2440932533,0.7366244728,0.8109988458,0.5027463013,1.6131373692,30.482204981
264,3.1532606246,0.8107809432,0.7850746167,0.4679425687,1.6777157483,25.4446830766
265,3.0789483266,0.9450818636,0.5702393285,0.2454531047,2.3232109005,19.1203339779
266,3.2896933549,0.1775066038,0.821422451,0.5174427507,1.5874653763,33.8513100227
267,3.1560993875,0.2531133072,0.786026992,0.4691801893,1.6753200795,25.2430008653
268,3.0858846728,0.5754543797,0.5660457802,0.2419895999,2.3391326756,19.1236145429
269,3.071967752,0.3931078129,0.5746522725,0.2491280213,2.3066545045,17.4173824585
270,3.055278646,0.3565286065,0.5861693148,0.2588664625,2.2643694708,14.0733606966
271,3.1697909889,0.3871580362,0.525013769,0.209535555,2.5056070748,26.2249604443
272,3.0441055337,0.0900498706,0.5948814206,0.2663780002,2.2332227892,14.3935532322
273,3.1182495013,0.8423096147,0.7722425198,0.4515497723,1.7102046489,22.5138737441
274,3.1277272347,0.1362041505,0.7759354046,0.45621443,1.7008129373,22.5188482865
275,3.2108263026,0.3199955081,0.5089997984,0.1975534896,2.576516362,26.5268460499
276,3.0703497684,0.5846745398,0.5757055294,0.2500097371,2.3027324301,17.3372991467
277,3.1374440696,0.2434120444,0.7795428678,0.4608120864,1.6916719219,23.9323574881
278,3.1031134038,0.8156460229,0.765934626,0.4436776312,1.7263313995,21.2652967751
279,3.2299069373,0.5582451577,0.5021445641,0.1925381205,2.6080267261,30.3999743992
280,3.2412691519,0.0984417372,0.4982141724,0.189693049,2.6264229238,29.5870822569
281,3.2776317012,0.2771908448,0.8187932077,0.513694865,1.593929127,32.1421574003
282,3.146429035,0.3098697125,0.782733722,0.4649131105,1.6836129254,21.4882681265
283,3.11619336,0.1191168232,0.771416696,0.4505123475,1.7123097742,18.1109772378
284,3.0934434603,0.0078316525,0.5616674746,0.2384031212,2.355956884,19.886506686
285,3.1350181587,0.2566106754,0.7786581072,0.4596806884,1.6939108533,23.559738122
286,3.0454167202,0.3588855263,0.593817477,0.2654520624,2.237004571,12.7640019017
287,3.1703550865,0.0881340859,0.5247800726,0.2093579912,2.5066159141,26.1505369403
288,3.027755562,0.7901434739,0.7203980785,0.390142758,1.8464986566,12.2915804531
289,3.2089638791,0.2538427041,0.8019398326,0.4903127661,1.6355679231,28.8287455518
290,3.186149727,0.3948942498,0.5183996788,0.2045412334,2.5344507319,27.4720941348
291,3.0385898652,0.877538415,0.6092410623,0.2775168517,2.1953299722,5.2319028156
292,3.1120932512,0.434749214,0.5515852029,0.2302580705,2.3955086639,21.8717283702
293,3.0770596137,0.5843303921,0.5714132055,0.2464276265,2.3187871164,18.0949210443
294,3.0621517556,0.4333192708,0.5812396338,0.2546718885,2.2823077852,16.6781556501
295,3.1065695383,0.9481976066,0.5544748733,0.2325763973,2.3840547872,21.7501251974
296,3.2551190821,0.6236774939,0.493563507,0.186355084,2.6485110921,31.4142044448
297,3.0040562757,0.9854297227,0.6576317775,0.323689478,2.0316748679,3.0912657573
298,3.2374998966,0.0382693502,0.4995061342,0.1906258155,2.6203488387,29.5663431493
299,3.2010275378,0.3969121475,0.5126554828,0.2002557961,2.5600032199,28.4990526964
300,3.2129840771,0.2527708403,0.8030295792,0.4917924315,1.6328628256,29.0954642304
301,3.2567549235,0.2882493609,0.8140302367,0.506976122,1.6056579422,30.5036194462
302,3.1477385463,0.4366532928,0.5345004498,0.2168120569,2.4652708775,24.878322493
303,3.0240678438,0.0904920032,0.6137586975,0.2831082732,2.1679292184,11.4789402989
304,3.0202886533,0.7227656758,0.7129284744,0.3818749384,1.8669161098,9.9149428127
305,3.1258396666,0.2742204628,0.7752142722,0.455300231,1.7026441444,22.4308521774
306,3.1900311377,0.8060645883,0.7965991089,0.4831225449,1.6488551762,28.0245240272
307,3.027727703,0.5560424647,0.6098996397,0.2796322956,2.1810772549,11.8841252569
308,3.2575889574,0.1115704144,0.8142259892,0.5072504889,1.605175366,30.1999988721
309,3.2149885652,0.7154981877,0.8035674718,0.4925243748,1.6315283321,28.0553594336
310,3.275951284,0.4869863407,0.486834818,0.1815799735,2.6811041367,33.1584372897
311,3.058430583,0.4025730076,0.5838720285,0.2569069406,2.272698539,15.9307195135
312,3.1104407805,0.2393619939,0.769056039,0.4475581965,1.7183375144,21.694274936
313,3.1323749502,0.9104984418,0.5415643115,0.2223177283,2.435992467,23.786479368
314,3.0004999958,0.2761289535,0.6883983077,0.3565701039,1.9306114004,6.7369970464
315,3.1118952321,0.0109188482,0.5516875049,0.2303399256,2.395101516,20.5750003412
316,3.2027587049,0.5764085694,0.5120025439,0.1997717166,2.5629381007,28.6073339199
317,3.2908956289,0.9777401096,0.8216799009,0.5178112546,1.5868328347,34.178882309
318,3.2097143632,0.5041269337,0.509409815,0.1978556121,2.5746543631,29.2802648602
319,3.1122227493,0.7259787048,0.7697954108,0.4484816487,1.7164479594,21.0254746985
320,3.0423041033,0.8995505481,0.5963873442,0.2676887208,2.2279136097,14.0768584434
